Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
EB,REG,12/6/1988,1988,12,6,13,84,30,8.7,112,1.4,1.4
WB,REG,12/6/1988,1988,12,6,13,85,32,11.1,110,1.4,1.2
EB,REG,12/6/1988,1988,12,6,14,85,30,7.1,105,1.4,1.5
WB,REG,12/13/1988,1988,12,13,10,92,35,11.8,109,1.4,1.3
EB,REG,12/13/1988,1988,12,13,12,111,35,12,117,1.4,1.7
EB,REG,12/13/1988,1988,12,13,12,98,34,10.1,121,1.4,1.5
WB,REG,12/20/1988,1988,12,20,11,86,33,11.3,106,1.4,1.1
EB,REG,12/20/1988,1988,12,20,12,102,34,9.9,113,1.4,1.3
EB,REG,12/20/1988,1988,12,20,12,90,31,9.3,112,1.4,1.3
WB,REG,12/27/1988,1988,12,27,13,85,34,12.1,104,1.4,
EB,REG,12/27/1988,1988,12,27,14,104,35,14.4,111,1.4,1.4
EB,REG,12/27/1988,1988,12,27,14,93,33,13.9,114,1.4,1.3
WB,REG,12/27/1988,1988,12,27,14,87,35,11.9,105,1.4,1.1
EB,REG,1/3/1989,1989,1,3,15,100,34,13.8,112,1.4,1.3
WB,REG,1/3/1989,1989,1,3,15,92,35,11.1,103,1.4,1.1
EB,REG,1/10/1989,1989,1,10,13,94,35,15.4,112,1.4,1.7
WB,REG,1/10/1989,1989,1,10,13,85,35,13.4,103,1.4,1.5
WB,REG,1/17/1989,1989,1,17,12,89,35,14.1,102,1.4,1
EB,REG,1/17/1989,1989,1,17,13,97,35,17.6,110,1.4,1.3
EB,REG,1/24/1989,1989,1,24,10,95,36,20.2,110,1.4,1.2
WB,REG,1/24/1989,1989,1,24,11,87,37,13.9,104,1.4,1.5
EB,REG,1/31/1989,1989,1,31,14,87,35,18.5,111,1.4,1.6
WB,REG,1/31/1989,1989,1,31,14,88,35,14,101,1.4,1.2
EB,REG,2/7/1989,1989,2,7,15,95,36,17.2,115,1.4,1.5
WB,REG,2/7/1989,1989,2,7,15,85,38,11.7,103,1.4,1.3
EB,REG,2/14/1989,1989,2,14,10,93,35,14.8,114,1.4,1.5
WB,REG,2/14/1989,1989,2,14,10,88,35,12.6,100,1.4,1.3
WB,REG,2/21/1989,1989,2,21,11,90,38,12.5,103,1.4,1.2
EB,REG,2/21/1989,1989,2,21,12,97,36,19.4,114,1.4,1.4
EB,ISCO,2/21/1989,1989,2,21,14,103,36,19.3,113,1.4,2.5
WB,ISCO,2/21/1989,1989,2,21,14,102,39,36.2,110,1.4,1.5
EB,ISCO,2/21/1989,1989,2,21,18,112,39,43.6,113,1.4,4.6
WB,ISCO,2/21/1989,1989,2,21,18,104,38,38.4,110,1.4,1.5
EB,ISCO,2/21/1989,1989,2,21,22,91,35,43.6,98,1.4,7.3
WB,ISCO,2/21/1989,1989,2,21,22,105,38,39,111,1.4,1.6
EB,ISCO,2/22/1989,1989,2,22,2,87,35,42,98,1.4,4.3
WB,ISCO,2/22/1989,1989,2,22,2,103,38,39.8,111,1.4,3.2
EB,ISCO,2/22/1989,1989,2,22,6,90,35,41.1,99,1.4,3.8
WB,ISCO,2/22/1989,1989,2,22,6,99,37,40.2,110,1.4,2
EB,ISCO,2/22/1989,1989,2,22,10,94,35,41.9,100,1.4,4.1
WB,ISCO,2/22/1989,1989,2,22,10,100,38,40.2,109,1.4,2.1
WB,ISCO,2/22/1989,1989,2,22,14,101,39,40,112,1.4,2
EB,ISCO,2/22/1989,1989,2,22,18,93,34,41.3,100,1.4,4.1
WB,ISCO,2/22/1989,1989,2,22,18,102,39,37.5,111,1.4,2.2
EB,ISCO,2/22/1989,1989,2,22,22,94,35,41.5,101,1.4,3.6
WB,ISCO,2/22/1989,1989,2,22,22,97,39,37.2,106,1.4,2.6
EB,ISCO,2/23/1989,1989,2,23,2,96,35,41.1,101,1.4,3.4
WB,ISCO,2/23/1989,1989,2,23,2,90,37,32.1,92,1.4,2.8
WB,ISCO,2/23/1989,1989,2,23,6,109,44,40.1,110,1.4,3.7
WB,ISCO,2/23/1989,1989,2,23,10,94,39,11.7,103,1.4,1.2
WB,ISCO,2/23/1989,1989,2,23,14,102,42,33.7,109,1.4,1.6
WB,ISCO,2/23/1989,1989,2,23,22,106,42,31.6,110,1.4,1.6
WB,REG,2/28/1989,1989,2,28,9,95,36,21.4,105,1.4,1.3
